Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","1996","1996","kg/ha","2523.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","1997","1997","kg/ha","2827.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","1998","1998","kg/ha","2815.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","1999","1999","kg/ha","3008.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2000","2000","kg/ha","2838","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2001","2001","kg/ha","3116.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2002","2002","kg/ha","2690.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2003","2003","kg/ha","3092.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2004","2004","kg/ha","2952.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2005","2005","kg/ha","3119.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2006","2006","kg/ha","3199.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2007","2007","kg/ha","3292.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2008","2008","kg/ha","3279.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2009","2009","kg/ha","3194.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2010","2010","kg/ha","3323","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2011","2011","kg/ha","3606","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2012","2012","kg/ha","3677.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2013","2013","kg/ha","3616.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2014","2014","kg/ha","3590","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2015","2015","kg/ha","3601.8","A","Official figure",""
