code,name,1995-07
ABW,Aruba (Neth.),32.54
AFG,Afghanistan,20.73
AGO,Angola,28.63
AIA,Anguilla (U.K.),30.63
ALA,ALA,9.41
ALB,Albania,17.34
AND,Andorra,12.98
ARE,United Arab Emirates,34.36
ARG,Argentina,21.53
ARM,Armenia,13.78
ASM,American Samoa (U.S.),30.16
ATF,French Southern and Antarctic Lands (Fr.),7.2
ATG,Antigua and Barbuda,30.16
AUS,Australia,28.99
AUT,Austria,11.48
AZE,Azerbaijan,17.96
BDI,Burundi,26.68
BEL,Belgium,14.72
BEN,Benin,33.84
BES,"Bonaire, Sint Eustatius and Saba",30.46
BFA,Burkina Faso,35.53
BGD,Bangladesh,30.63
BGR,Bulgaria,16.19
BHR,Bahrain,32.21
BHS,The Bahamas,29.03
BIH,Bosnia and Herzegovina,15.08
BLM,Saint-Barthélemy (Fr.),
BLR,Belarus,11.35
BLZ,Belize,30.03
BMU,Bermuda (U.K.),26.25
BOL,Bolivia,26.97
BRA,Brazil,30.76
BRB,Barbados,30.22
BRN,Brunei Darussalam,30.99
BTN,Bhutan,16.23
BVT,Bouvet Island (Nor.),
BWA,Botswana,30.03
CAF,Central African Republic,31.87
CAN,Canada,0.85
CCK,Cocos (Keeling) Islands (Aus.),29.14
CHE,Switzerland,9.91
CHL,Chile,14.15
CHN,China,13.54
CIV,Côte d'Ivoire,31.93
CMR,Cameroon,30.16
COD,Democratic Republic of Congo,30.08
COG,Congo,29.26
COK,Cook Islands (N.Z.),27.7
COL,Colombia,29.6
COM,Comoros,27.12
CPV,Cabo Verde,25.47
CRI,Costa Rica,28.6
CUB,Cuba,30.46
CUW,Curaçao (Neth.),31.14
CXR,Christmas Island (Aus.),31.19
CYM,Cayman Islands (U.K.),30.94
CYP,Cyprus,24.02
CZE,Czech Republic,12.77
DEU,Germany,13.52
DJI,Djibouti,33.76
DMA,Dominica,30.67
DNK,Denmark,12
DOM,Dominican Republic,30.17
DZA,Algeria,30.92
ECU,Ecuador,27.28
EGY,Arab Republic of Egypt,30.46
ERI,Eritrea,33.21
ESP,Spain,19.67
EST,Estonia,9.93
ETH,Ethiopia,30.09
FIN,Finland,6.52
FJI,Fiji,28.67
FRA,France,15.94
FRO,Faroe Islands (Den.),8.65
FSM,Federated States of Micronesia,30.81
GAB,Gabon,29.37
GBR,United Kingdom,12.73
GEO,Georgia,14.36
GGY,Guernsey (U.K.),14.73
GHA,Ghana,32.71
GIB,Gibraltar (U.K.),22.02
GIN,Guinea,31.8
GLP,GLP,29.22
GMB,The Gambia,35.68
GNB,Guinea-Bissau,34.18
GNQ,Equatorial Guinea,28.5
GRC,Greece,19.05
GRD,Grenada,30.18
GRL,Greenland (Den.),-14.73
GTM,Guatemala,29.09
GUF,GUF,30.83
GUM,Guam (U.S.),30.79
GUY,Guyana,30.64
HKG,HKG,25.74
HMD,Heard Island and McDonald Islands (Aus.),5.44
HND,Honduras,29.5
HRV,Croatia,16.68
HTI,Haiti,30.05
HUN,Hungary,16.27
IDN,Indonesia,30.5
IMN,Isle of Man (U.K.),12.3
IND,India,30.95
IOT,British Indian Ocean Territory (U.K.),30.04
IRL,Ireland,13.24
IRN,Islamic Republic of Iran,25.44
IRQ,Iraq,30.18
ISL,Iceland,4.72
ISR,Israel,25.98
ITA,Italy,17.17
JAM,Jamaica,29.95
JEY,Jersey (U.K.),15.02
JOR,Jordan,26.81
JPN,Japan,15.9
KAZ,Kazakhstan,12.89
KEN,Kenya,30.96
KGZ,Kyrgyz Republic,8.49
KHM,Cambodia,31.82
KIR,Kiribati,30.91
KNA,Saint Kitts and Nevis,30.46
KOR,Republic of Korea,17.41
KSV,Kosovo,14.82
KWT,Kuwait,33.24
LAO,Lao People's Democratic Republic,28.92
LBN,Lebanon,20.91
LBR,Liberia,30.08
LBY,Libya,29.74
LCA,Saint Lucia,30.04
LIE,Liechtenstein,11.23
LKA,Sri Lanka,30.93
LSO,Lesotho,18.94
LTU,Lithuania,11.11
LUX,Luxembourg,14.13
LVA,Latvia,10.56
MAC,MAC,25.68
MAF,Saint-Martin (Fr.),30.63
MAR,Morocco,24.24
MCO,Monaco,16.85
MDA,Moldova,15.19
MDG,Madagascar,27.37
MDV,Maldives,30.97
MEX,Mexico,28.87
MHL,Marshall Islands,30.48
MKD,North Macedonia,15.8
MLI,Mali,36.38
MLT,Malta,23.07
MMR,Myanmar,29.09
MNE,Montenegro,14.2
MNG,Mongolia,7.79
MNP,Northern Mariana Islands (U.S.),30.43
MOZ,Mozambique,29.87
MRT,Mauritania,35.59
MSR,Montserrat (U.K.),29.08
MTQ,MTQ,29.58
MUS,Mauritius,26.95
MWI,Malawi,28.13
MYS,Malaysia,30.43
MYT,MYT,27.96
NAM,Namibia,27.95
NCL,New Caledonia (Fr.),26.21
NER,Niger,35.74
NFK,Norfolk Island (Aus.),21.48
NGA,Nigeria,33.37
NIC,Nicaragua,30.14
NIU,Niue (N.Z.),27.83
NLD,Netherlands,14.32
NOR,Norway,5.51
NPL,Nepal,20.51
NRU,Nauru,30.97
NZL,New Zealand,15.3
OMN,Oman,33.6
PAK,Pakistan,28.37
PAN,Panama,28.89
PCN,Pitcairn Islands (U.K.),23.14
PER,Peru,25.75
PHL,Philippines,30.42
PLW,Palau,31.39
PNG,Papua New Guinea,29.94
POL,Poland,12.74
PRI,Puerto Rico (U.S.),28.59
PRK,D. P. R. of Korea,12.15
PRT,Portugal,20.74
PRY,Paraguay,29.66
PSE,West Bank and Gaza,25.29
PYF,French Polynesia (Fr.),27.41
QAT,Qatar,33.02
REU,REU,23.31
ROU,Romania,15.1
RUS,Russian Federation,0.91
RWA,Rwanda,25.52
SAU,Saudi Arabia,33
SDN,Sudan,35.69
SEN,Senegal,36.22
SGP,Singapore,31.17
SHN,"Saint Helena, Ascension and Tristan da Cunha (U.K.)",20.12
SJM,Svalbard and Jan Mayen (Nor.),-4.02
SLB,Solomon Islands,29.72
SLE,Sierra Leone,31.58
SLV,El Salvador,31.45
SMR,San Marino,16.62
SOM,Somalia,32.37
SPM,Saint-Pierre-et-Miquelon (Fr.),9.55
SRB,Serbia,16.13
SSD,South Sudan,34.77
STP,S?o Tomé and Príncipe,27.63
SUR,Suriname,31.2
SVK,Slovak Republic,13.52
SVN,Slovenia,14.36
SWE,Sweden,7.42
SWZ,Eswatini,26.77
SXM,Sint Maarten (Neth.),30.63
SYC,Seychelles,29.83
SYR,Syrian Arab Republic,25.59
TCA,Turks and Caicos Islands (U.K.),29.69
TCD,Chad,35.44
TGO,Togo,32.82
THA,Thailand,31.91
TJK,Tajikistan,9.59
TKL,Tokelau (N.Z.),31.67
TKM,Turkmenistan,23.19
TLS,Timor-Leste,29.26
TON,Tonga,27.74
TTO,Trinidad and Tobago,30.86
TUN,Tunisia,26.41
TUR,Türkiye,17.43
TUV,Tuvalu,31.75
TWN,TWN,23.7
TZA,Tanzania,28.55
UGA,Uganda,29.46
UKR,Ukraine,13.47
UMI,U.S. Minor Outlying Islands,27.81
URY,Uruguay,23.23
USA,United States of America,15.7
UZB,Uzbekistan,20.07
VAT,Vatican City,21.17
VCT,Saint Vincent and the Grenadines,29.4
VEN,R. B. de Venezuela,30.73
VGB,British Virgin Islands (U.K.),29.9
VIR,United States Virgin Islands (U.S.),30.2
VNM,Vietnam,28.53
VUT,Vanuatu,28.08
WLF,Wallis and Futuna (Fr.),30.3
WSM,Samoa,30.44
YEM,Republic of Yemen,31.8
ZAF,South Africa,25.59
ZMB,Zambia,29.25
ZWE,Zimbabwe,28.73
